Module,Student Essay,Grade out of 100,Teacher Feedback
1,"The first episode of the documentary series, Language Families of the World, is an introduction to the process of derivation of languages and how languages have changed over the span of humanity. Dr. McWhorter expands on the many aspects of language, including the inherent need for a language to change and how that change is inevitable (6:15). When a group of people speaking the same language get separated for a long time, the way each group speaks that language changes over time. Similarly, language changes over generations as each generation pronounces sounds differently. Dr. McWhorter expands on this by explaining how the different syllables of the word “sock” can transform into different sounds. This is an example of sound change, one the many processes by which words change over time.

The other way a language can transform is by the addition of new material such as suffixes and prefixes. He gives an example of the word ‘slowly’ where the suffix ‘-ly’ was derived from the word ‘like’. Meaning changes can also transform one language into another as a word’s original meaning changes over time to represent different things. An interesting example is how the words ‘merry’, ‘bra’ and ‘pretzel’ all trace back to one word in Ukrainian which meant ‘short’. This happened through not just meaning changes in the original Ukrainian word but also in sound changes over time. This is something that I observed in this segment of the video: certain words can go through multiple processes of transformation at the same time.

The reason why this segment of the video stood out to me is because how I speak my native tongue Bengali in comparison to my parents’ generation and the ones before them. I had noticed that my peers and I use newer words and certain words in a completely different way than them. I used to believe that our way of speaking was inherently harming the language by not conserving it properly but now I understand that change of language is inevitable. While conservation of language is necessary, there is no right way of using it as it will change over time.",98,"Hi [student], this is a thoughtful essay. You did a good job summarizing the three key mechanisms of language change, and your reflection on your use of newly developed terms isn't harming the Bengali language, but participating in its evolution is a sophisticated insight! 

For future assignments, I'd love to see more specific examples from your personal experience. For example, you mentioned that you use words differently from your parents -  which words specifically? 

Also, please proofread for typos; you wrote 'one the many' instead of 'one of the many.' "
1,"After watching this film, I found many things interesting, and learned about many topics that
were completely new to me. In particular, (“Why are there so many Languages?” S1. E1. 13 minutes 45
seconds), Dr McWorther states how the words “merry”, “bra” and “pretzel” all trace back to a distant
English ancestor. He begins to draw the connection from a Ukrainian word that no longer exists. This
word stood for “short”, however English did not exist at the time. This word then went on to become
“merry” in the English language due to the connection of something being short existing as a positive
outcome. The Ukrainian word then changes even more over time, leading to the creation of the word
“bra”. After this, the sounds change even further leading to the creation of the word “pretzel”, which
connects to crossed arms, and brachial. I found this very interesting due to personally assuming these
languages to be nothing alike. The concept of these commonly used English words all being developed
from the same origin of a Ukrainian word that no longer exists is very surprising. Without this video, I
would have never thought that “pretzel” and “merry” come from an origin that is anything but close to
each other. I am further intrigued by this connection due to personally being born in Ukraine, and learning
Russian (part of the East Slavic family, like Ukranian) and English simultaneously. Growing up, I was
able to slowly learn and make connections across both languages. As I am now, more developed, I can
really reflect on these connections and see how important the change of sound is in a language. For
example “mathematics” in English has a similar sound to the pronunciation of “matematika” in Russian.
We can also see the opposite using another example, such as “tree” in English, and the Russian
pronunciation being “derevo”. The sounds are completely different, even when they mean the same word,
which is not like the case for the word “mathematics”. Furthermore, being corrected by my family for my
improper pronunciation of some Russian words shows a connection between how each individual can
change the sounds of a language, leading to overall change in hundreds of years. Conclusively, I found
this video very interesting, especially the point about how three english words today came from an origin
that is my birthplace.",97,"Hi Diana, great job providing a wonderful personal reflection. Your connection to the material (being born in Ukraine and learning Russian and English simultaneously) offered such a unique insight. 

For the future assignments, please proofread your writing, specifically in terms of spelling (e.g., McWorther --> McWhorter), capitalization (e.g., englihs --> English). Also, try to use 'In conclusion' rather than 'Conclusively' to end your essay, as 'conclusively' usually means 'decisively' rather than 'finally.' "
1,"The topic that I found extremely interesting that Dr.McWorther brought up at the 3 minute mark of the film Language Families of the World video, is the fact that ""the original Homo sapiens spoke, a species wide trait that originated  presumably in East Africa."" From that one language developed 7000-8000 different languages. I find this very intriguing because as man of faith, I spend time reading the bible and its wonderful stories. In Genesis, the first book in the Bible in chapter 11 talks about the story of ""Babel"". In this parable it describes how the people of this region attempted to build a city and a tower reaching the heavens to make a name for themselves, united by a single language. Their ambition and pride led to God confusing their speech, as well as scattering them across the earth which forced them to stop building. Being that God scattered the people across the earth and confused their speech this led to many of the different languages that we have in the world. I believe this parable expresses the origin of linguistic and cultural  diversity as described in the film.",80,"
Hi [student], you made a great conceptual connection here. Comparing the linguistic theory to the Bible is an insightful parallel. 

However, for your next assignments, pay attention to these: 

Length: This essay is too short (190 words). You can explore the difference between the theory and the Bible. Discussing how those two differ would easily get you over the word count.
Timestamp: Please be specific with your timestamps. You mentioned the ""3 minute mark,"" but the quote you used actually starts at 2:57. 
Spelling & Grammar: You misspelled the professor's name (it is McWhorter, not ""McWorther"") and missed an article (""as a man of faith""). "
1,"After viewing the film, I found a lot of what Dr McWhorter had to say to be very interesting and I
learned a lot of new facts. Towards the end of that film (video 1, 24 min 47 seconds), he stated that “the
click languages are not just click sounds, and those sounds that we hear are just as important as our own
consonants and vowels are”(McWhorter). He also made a point after giving an example of what a word
would be like in those interesting languages, that it looks like, for us, someone just fell asleep at the
keyboard and woke up to an accidental typo. He states that in North America, a lot of their sentences can
be contained in just a single word. For us English speakers, that doesn’t add up because there is no
separation, and it all looks like a big mess. But for them, there are pieces to that blob that add up and
create meaning for them. I find this so intriguing due to the fact that I am so used to reading words that
have vowels and consonants, which build into a word, and I can’t seem to figure out how all those
consonants add up to create meaning. Who built that lnagauge and started that? How did someone just
make that up? It is so cool how many languages we have in this world today, yet they are different, but
they all relate to each other. Each language connects, and it all started from just one singular language. A
connection I can draw for a personal experience is when I was learning how to play sports when I was
younger. There were so many terms and slang that were used, and I was so confused because my mind
wasn’t trained to translate them. After a lot of practice and repetition, I got used to that norm and realized
that it all made sense and everything connected ot one another. When I was in the sports environment and
playing and practicing, I would use that certain vocab on a daily basis because it became a norm, but as
soon as I would leave or go home, I would switch to the words I would use normally. I think that the
environment you are in has a lot to do with how comfortable you are with learning new things and getting
used to having things be out of the ordinary. The more you practice, the better you will get at something
and the more comfortable you will be.",97,"
Hi Marley, great job on this reflection. You successfully captured the video's main points, including Dr. McWhorter's keyboard analogy. Your personal connection regarding sports jargon was excellent and demonstrated a good grasp of the material. 

For future assignments, please double-check for typos ('lnagauge,' 'ot') and aim to use slightly more academic descriptors instead of words like 'big mess' or 'blob'. "
1,"In Language Families of the World, at the 19:30 mark, Dr. McWhorter discusses the
Language Family Tree, providing an overview of the world’s language families in the form of
a global tour - one continent at a time. I found this part of the film intriguing as it gives a
visual demonstration of the clustering of specific related languages. It was interesting to
see on a map how proximity plays into a language’s development and eventual splitting off
into another related language. It also aids me in understanding the vastness of the world’s
languages: as Dr. McWhortner presents at the outset of the film, there are 7,000 languages
in the world (or 6,000, as is Dr. McWhortner’s preferred estimate) but that is such large
number it is difficult to comprehend the reality of there being so many languages spoken in
the world. However, seeing it presented as a break-down into language families helps me
to grasp the information in a way that is concrete rather than conceptual. For instance,
living here in the United States, it is surprising to know that there are 10 language families
here. The map presented in the film shows there is a language family that stretches across
Louisiana, Mississippi, Alabama and into Northern Florida. This is especially interesting to
me as I visited Mobile, Alabama in 2023 and learned that it had a very similar history as
New Orleans. Seeing that the two cities share the same language family helps me connect
this information to the fascinating history of the region and I am better able to imagine and
comprehend the people speaking the languages, not just an abstract number of
languages.
Another amazing example presented in the film is that New Guinea, a small island in
Oceania, has 25 language families. How many languages are in each language family, and
how many total languages are there in that land? How and why did New Guinea become so
linguistically diverse? How many speakers are there of each language? Dr. McWhorter
does not discuss the answers to these specific questions in the film, but provides enough
information to illicit curiosity and engagement, which I enjoyed and found interesting",96,"
Hi Alexix, you did a great job connecting the map visualization to your personal travels in the US. 

For your next assignments, be careful with typos and word choices. You consistently misspelled the professor's name as ""McWhortner,"" and you used the word ""illicit"" (which means illegal or forbidden) when you likely meant ""elicit."" 

Finally, regarding your point about Alabama and Louisiana: the map Dr. McWhorter shows refers to indigenous language families, whereas the ""shared history"" of Mobile and New Orleans usually refers to French/Spanish colonialism."
1,"
Hi Alexix, you did a great job connecting the map visualization to your personal travels in the US. 

For your next assignments, be careful with typos and word choices. You consistently misspelled the professor's name as ""McWhortner,"" and you used the word ""illicit"" (which means illegal or forbidden) when you likely meant ""elicit."" 

Finally, regarding your point about Alabama and Louisiana: the map Dr. McWhorter shows refers to indigenous language families, whereas the ""shared history"" of Mobile and New Orleans usually refers to French/Spanish colonialism.",97,"Hi Isaiah, you did a great job applying the lecture to your own life. Your example of English and Spanish blending together was a perfect illustration of sound change. 

I want to clarify one point from the video: Dr. McWhorter compares sound change to a 'drunk person' only as an analogy to show how words get slurred, not to suggest that accents are actually 'bourbon-influenced.' 

Also, for future assignments, you do not need to include a full reference list (e.g., 'Language Families..narrated by...'). Since the word count is tight, I would prefer to read more of your own analysis rather than using 28 words for a citation. Finally, watch out for redundancy; in one sentence, you used the phrase 'for instance' twice. 

Overall, great job connecting the concepts to your life."
1,"At 18:04, Dr. McWorther begins to talk about the English dialect of ""Black Country English,"" that was spoken in the west midlands of America and is special specifically because it is an example of a dialect that wasn't written down and changed a lot as a result. It's name originates from what McWorther says is ""coal dust"" which has lead me to assume - since McWorther didn't emphasize this point too greatly -  that this was a dialect spoken specifically by coal miners back when that was a common industry in America. 

Black Country English developed in such a way that it began to sound like another language entirely, with the video going so far as to compare it to Norwegian. Many of the words that are in the past tense or that are conjugations got shortened into word that seem either heavily accented or like totally different words. One example of this is the word ""gave"" morphing into ""Gid"". 

While this specific dialect is interesting, I'm mostly interested in what it represents, which is how language can be changed by things like culture and other outside factors. In this case, English was altered by a lack of literacy/lack of people writing things down which led to a whole new dialect. While there are instances of languages changing just as a result of time and human error or imperfection (which is discussed earlier in the video when McWorther talks about sound changes eventually changing how words are said) I know from my own knowledge and observation of language that there are many things that can effect how we talk to one another and I find that very interesting. One personal example is how some of the slang that I've seen develop over the course of my life has become a legitimate, or at the very least more commonly used, part of the english language. Being able to study this pattern in other cultures is something I find very interesting. ",92,"Hi Alexandra, good job identifying a specific section of the film and engaging with it personally. Your comparison between the evolution of the ""Black Country"" dialect and the acceptance of modern slang was a thoughtful insight.

However, there is a factual clarification: ""Black Country English"" is spoken in the UK, not the US. Also, for your next assignment, I'd love to see more specific examples to back up your opinions. For example, which slang words have you seen evolve? Finally, please proofread your writing for errors, such as capitalizing 'English' and using the possessive 'its' rather than 'it's.' "
1,"Dr. McWorther discussed very interesting topics in Language Families of the World. He
explained that number of languages in the world is about 7000 (Video 1min 22 seconds)
and how all of them are likely developed from a single language (Video 1 min 30 seconds).
With all the great information that he provided, the one thing that I found very interesting is
the fact that language can change and evolve over time. He went into great details about
this when he discussed Dialect of Black country English (Video 18 minutes 5 sec) some
examples he gave is “I give” they say it as ‘I gid”, we say, “ I did” and “ I don’t” they say “ I
dey”.
One of the main reasons that I found this topic about language evolving interesting is
because I grew up in a country called Guyana which was once ruled by the British and what
I didn’t realize was that most of the words that we spoke in “Guyanese Creole” are words
that were derived from the English dictionary. Over time the words and pronunciation had
changed so much that it could hardly be recognized what the original word was. I
remembered when I immigrated to the United States at the age of 13 and I was in Middle
school there were certain words that I pronounced differently words such as mattress and
Colgate. Even the word color I was taught that it was spelled as colour. In the video (7 mins
40 seconds) Dr. Mc Worther went into details about the changing of sounds using the word
sock. He discussed how sock has three sounds s, ah, and k and how all three of these
sounds can change over time.
Dr Mc. Worther also talks about how print and literacy can hold language back (video 17
minutes) however despite this language can change a lot over time. (19 min 27 seconds).",96,"Hi Rajdai, you did a wonderful job connecting the lecture to your personal history. Your experience with Guyanese Creole is a perfect example of language evolution.

For your next assignments, pay attention to: 

spelling (you misspelled the professor's name)
subject-verb agreement (e.g., ""some examples he gave is"" should be ""are""). 
Additionally, your final sentence regarding print and literacy felt unnecessary; you introduced a new topic at the very end without elaborating on it or connecting it to your previous points about sound change. For your next assignment, focus on wrapping up your main argument rather than adding disconnected facets at the end. "
1,"Watching the first episode of Language Families of the World, I found especially intriguing what Dr. McWhorter had to say about meaning changes at 13:33. He was talking about how words’ meanings are drifting into being new ones all the time, and I can’t agree more with him on that statement. The changes that happen reflect the cultural shifts, social attitudes, and historical events.

When I think about meaning change, I think about my native Ukrainian language. Over time, many words have gained different meanings that can be different from their original ones. Such as the word “подонок”, which was originally used to refer to the literal bottom of an item, and is now used to describe a morally corrupt or despicable person. Another example is the word “бидло”, which used to mean cattle, but has now evolved into a derogatory term for people considered rude or uncultured. While those changes happened decades before I was born, some gained their new meanings in recent years, after the full-scale invasion. Such as “бавовна”, which traditionally referred to cotton, has taken on an ironic meaning associated with explosions on the enemy’s territory. “Кіборг”  is now a symbol of extraordinary resilience and heroism in Ukrainian soldiers. And the word “орки”, once tied mainly to fantasy literature, is now used as a synonym for the enemy, carrying strong emotional and political meaning.

These examples are proof of Dr. McWorter’s point that the meaning change is inevitable. As society changes, everything around it changes to assimilate; humans need to adapt the meanings of the words or come up with new ones.",91,"Hi Valeriia, your examples of semantic shift in Ukrainian are absolutely fascinating and highly relevant. 

However, your essay is too short (266 words) and falls below the 300-word minimum. You need to expand your analysis to meet the requirements. Also, watch out for sentence fragments: you started two sentences with ""Such as..."" ""Such as"" is a connector, so it should join the previous sentence or start a complete thought (e.g., ""One such example is...""). Finally, you misspelled the professor's name as ""McWorter."" "
1,"Language Families of the World is a documentary that introduces the concept of languages and is narrated by Dr. John McWorther, a linguist and author. At video 1, 7 min 19 seconds, Dr. McWorther brings up an idea where “Each generation pronounces sound slightly differently. And then it’s like a game of telephone or operator… after a while you’ve got a complete transformation.” Now this can occur in multiple areas of language, but Dr.McWorther goes in depth on sounds changing. I find this interesting because it’s as if we’re playing telephone in real life. As each generation learns a new word in their language, the pronunciation of different words slightly changes with each generation. With each slight change in pronunciation, the word eventually sounds quite different from the word that language started with. In this situation, a new generation is another person in the game of telephone. I also find it interesting because I relate to the fact in my personal life. My family speaks malayalam fluently and I can understand malayalam. I’m not entirely fluent in malayalam, though I can speak a few words in malayalam. When I pronounce “shower”, “water”, or “rice” in malayalam, it doesn't sound the same as when my mother pronounces it. While I don’t pronounce it the same, it can be understood by others. All in all, I pronounce words in malayalam slightly differently than my mother who is in a different generation than me. My grandparents pronounce words in malayalam slightly differently than my parents, siblings, and myself. I’ve also seen this occur in my life when I was learning Spanish. There would be fluent Spanish speakers in my class and their pronunciation of certain words would be slightly different than that of the teacher’s pronunciation. To understand this phenomenon, “slightly” is the operative word. The changes in sounds have to sound similar, otherwise the individual is just not pronouncing the word correctly in the given language. ",97,"Hi Angelina, great job on this! I particularly enjoyed your final insight: ""slightly"" is the operative word. That was a sophisticated observation! Your personal connection to Malayalam and the generational differences in your family's pronunciation also illustrated this concept perfectly. 

For future assignments, try to avoid using large chunks of direct quotes (like the ""Each generation... complete transformation"" section). Instead, paraphrase these ideas in your own words to demonstrate your understanding and save space for your own analysis. Also, please pay attention to proper noun capitalization; you consistently wrote ""malayalam"" when it should be ""Malayalam."" Finally, remember to spell the professor's name correctly. "
