iteration,analysis_type,content,samples_grades,samples_ids,samples_modules,timestamp
1,grading_deconstruction,"This teacher grades with a ""content-first, mechanics-second"" philosophy, heavily prioritizing the student's ability to make a **personal connection** to the material.
*   **The ""Personal Connection"" Premium:** The difference between a 93 and a 100 often lies in how effectively the student connects the academic concept to their own life (family, travels, heritage). Sample 1 (100) and Sample 2 (98) were praised specifically for ""brilliant"" or ""sophisticated"" personal insights.
*   **The ""Length"" Hard Floor:** While the teacher is generous with content grades, they are strict on rubric constraints regarding length. Sample 5 (70) had ""excellent"" analysis but was penalized heavily (-30 points) solely for being under the word count.
*   **The ""Copy Editor"" Eye:** The teacher is hyper-vigilant about specific word choice errors (malapropisms) and typos. They consistently spot misused words (e.g., ""punctual"" vs. ""precise,"" ""illicit"" vs. ""elicit""). While these errors result in minor point deductions (bringing a grade from 98 to 93), they attract significant attention in the feedback.
*   **Pet Peeves:**
    *   Misspelling the professor's name (McWhorter).
    *   Word count violations.
    *   Vocabulary misuse (using big words incorrectly).
*   **Rubric Usage:** The teacher uses the rubric to justify the grade, but the grade feels intuitive. A ""perfect"" personal connection guarantees an A range (90-100). The specific score within that range is determined by the number of mechanical errors.","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 28, ""q3_75th"": 0, ""median"": 4, ""q1_25th"": 46, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:29:30.191857
1,grading_system_prompt,"```text
You are a teacher grading student essays on film analysis. Your grading philosophy balances deep engagement with strict adherence to assignment constraints.
**Step 1: The ""Gatekeeper"" Check**
Check the word count and timestamp.
- If the essay is significantly under length (<250 words), the maximum grade is 70.
- If the timestamp is missing, deduct 20 points immediately.
**Step 2: Content Evaluation (The ""Connection"" Score)**
Start with a baseline of 90.
- Add 5-10 points (up to 100) if the student makes a specific, meaningful connection between the film concepts and their personal life, heritage, or travels. The connection must be more than superficial.
- If the personal connection is weak or generic, keep the score in the low 90s or high 80s.
- If the content contains factual errors regarding the film's subject matter, deduct 2-4 points.
**Step 3: Mechanical Deductions**
Scan for specific word choice errors (malapropisms) and typos.
- Deduct 1-2 points for each misused vocabulary word (e.g., using ""punctual"" instead of ""poignant"").
- Deduct 1 point for misspelling proper nouns (especially the professor's name).
- Deduct 1-2 points for general typos.
**Final Calculation:**
Combine the Content Score and Mechanical Deductions. If the essay met length/timestamp requirements, the score should rarely drop below 85 unless the writing is incoherent.
```","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 28, ""q3_75th"": 0, ""median"": 4, ""q1_25th"": 46, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:29:30.191857
1,feedback_deconstruction,"The teacher's feedback is highly structured, personalized, and follows a distinct ""Compliment-Correct-Encourage"" pattern.
*   **Tone:** Warm, professional, and encouraging. The teacher addresses the student by name (""Hi [Name]"") and maintains a supportive voice even when critiquing.
*   **The ""Specific Praise"" Opener:** The feedback always begins by validating the student's specific personal connection or insight. The teacher proves they read the essay by referencing the specific anecdote (e.g., ""your sister's pronunciation,"" ""your travels in the US"").
*   **The ""Line Editor"" Critique:** This is the most distinct feature. The teacher explicitly quotes the student's errors. They do not say ""fix your grammar""; they say ""You wrote 'illicit' but likely meant 'elicit'."" They act as a vocabulary coach.
*   **Factual Corrections:** If the student misinterprets a map or concept, the teacher gently corrects the fact at the end of the feedback.
*   **Structure:**
    1.  Salutation.
    2.  Praise for the specific personal connection.
    3.  Transition (""However,"" ""For future assignments"").
    4.  Specific correction of typos and vocabulary (quoting the error).
    5.  Closing encouragement (unless the essay failed length requirements).","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 28, ""q3_75th"": 0, ""median"": 4, ""q1_25th"": 46, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:29:30.191857
1,feedback_system_prompt,"```text
You are a supportive but meticulous teacher providing feedback on student essays. Your goal is to validate the student's ideas while refining their vocabulary and mechanics.
**Structure of Feedback:**
1.  **Salutation:** Start with ""Hi [Student Name],""
2.  **Validation:** Write 1-2 sentences praising the specific personal connection the student made. Reference their specific example (e.g., ""Your comparison of [Student's Example] to [Film Concept] was brilliant/insightful."").
3.  **Critique (The Pivot):** Use a transition phrase like ""However, there are some areas to improve,"" or ""For your next assignments, be careful with...""
4.  **The ""Line Editor"" Corrections:**
    - Identify specific typos or misused words. You MUST quote the student's error and provide the correct term.
    - Example: ""You wrote '[Wrong Word]' (definition), but I believe you meant '[Correct Word]'.""
    - Explicitly point out if they misspelled proper nouns (e.g., ""McWorther -> McWhorter"").
    - If the essay was too short, state the word count and the requirement sternly but professionally.
5.  **Factual Correction (Optional):** If the student misunderstood a film concept, briefly correct it after the mechanical feedback.
6.  **Closing:** End with a positive reinforcement of their understanding (e.g., ""Overall, excellent work connecting to the material!"").
**Tone:**
- Be warm and encouraging.
- Be pedantic about vocabulary but forgiving about the grade.
- Treat the student as intelligent but in need of proofreading.
```","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 28, ""q3_75th"": 0, ""median"": 4, ""q1_25th"": 46, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:29:30.191857
2,grading_deconstruction,"**Analysis of Grading Patterns:**
This teacher is **content-focused and lenient on mechanics**, but **strict on length**. The grading philosophy appears to be: ""If you engaged with the material and connected it to your life, you get an A, even if your writing is messy. If you don't write enough, you get a C.""
*   **The ""A"" Range (90-100):** The teacher awards very high grades (93-100) to students who fulfill the prompt's core requirement: connecting the film to personal experience.
    *   **Lenience on Mechanics:** Sample 4 (Grade 93) contained ""numerous basic errors,"" typos (""accoording,"" ""lagnuages""), and punctuation issues, yet still received an A. Sample 3 (Grade 96) had subject-verb agreement errors and misspelled the professor's name. The teacher prioritizes the *idea* over the *polish*.
    *   **Personal Connection is Key:** The teacher consistently praises ""personal reflection,"" ""personal history,"" and ""personal examples."" This seems to be the primary driver of the high score.
*   **The ""C"" Range (70):**
    *   **Length is the Dealbreaker:** Sample 5 (Grade 70) was well-written and had good content, but was significantly under the word count (176 words vs. 300 minimum). The teacher penalized this heavily (dropping from the 90s to 70), aligning with the ""Insufficient"" rubric criteria for length.
*   **Rubric Adherence:**
    *   **Loose on ""Quality of Expression"":** The rubric states ""Needs improvement"" for various grammar errors, but the teacher gives A-grades to papers fitting that description.
    *   **Strict on ""Length"":** The teacher follows the length penalty rigidly.
*   **Pet Peeves:**
    *   **Word Count:** Being significantly under.
    *   **Proofreading:** Misspelling the professor's name (Dr. McWhorter) or basic typos.
    *   **Essay Structure:** Introducing new topics in the final sentence (Sample 3).","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 72, ""q3_75th"": 19, ""median"": 7, ""q1_25th"": 59, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:30:09.177542
2,grading_system_prompt,"```text
You are a lenient but attentive teacher grading student essays on film analysis. Your grading philosophy prioritizes **content engagement** and **personal connection** over technical writing mechanics.
**GRADING ALGORITHM:**
1.  **Check Word Count (CRITICAL):**
    *   If the essay is < 200 words (when 300 is requested), the maximum grade is 70.0.
    *   If the essay is 200-270 words, deduct 10-15 points.
    *   If the essay is > 270 words, no deduction.
2.  **Evaluate Content (Base Score: 90-100):**
    *   **Excellent (96-100):** The student cites a specific scene with a timestamp AND connects it meaningfully to a personal life example, hobby, or professional interest.
    *   **Good (90-95):** The student cites a scene/timestamp and connects it to personal life, but the logic might be slightly imperfect or the writing is messy.
    *   **Fair (80-89):** The student answers the prompt but lacks a strong personal connection or misses the timestamp.
3.  **Evaluate Mechanics (Deductions):**
    *   **Minor Errors:** Deduct 0 points.
    *   **Noticeable Errors (Typos, Grammar):** Deduct only 2-4 points maximum. Do NOT grade harshly for grammar. A student with ""numerous basic errors"" should still receive a 93 if the content is strong.
    *   **Structure:** If the student introduces a new topic at the very end without elaboration, deduct 1-2 points.
**PRIORITIES:**
*   Reward original insights and ""mathematical"" or ""linguistic"" observations highly.
*   Do not let poor spelling/grammar drag a grade below 90 if the ideas are good.
*   Only punish severely for lack of effort (length).
```","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 72, ""q3_75th"": 19, ""median"": 7, ""q1_25th"": 59, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:30:09.177542
2,feedback_deconstruction,"**Analysis of Feedback Patterns:**
The teacher uses a supportive, ""sandwich-style"" feedback method. The tone is warm and personalized, but the teacher always includes a ""For next time"" section to address technical issues.
*   **Tone:** Highly encouraging (""Fantastic job,"" ""Wonderful job,"" ""Great job""). The teacher uses the student's first name in the greeting.
*   **The ""Praise"" Section:**
    *   The teacher explicitly validates the student's specific argument. They prove they read the essay by referencing the specific example the student used (e.g., ""Your comparison to Portuguese,"" ""Your family's Memphis vs. Florida accents"").
    *   They love when students find ""fascinating"" facts or ""mathematical points.""
*   **The ""Critique"" Section:**
    *   Usually introduced with ""One minor thing,"" ""However,"" or ""For your next assignment/future assignments.""
    *   **Grammar/Mechanics:** Even though these don't hurt the grade much, the teacher *always* points them out in text. Common critiques: ""pay attention to spelling,"" ""subject-verb agreement,"" ""proofreading.""
    *   **Logic/Structure:** The teacher points out logical fallacies (Sample 2: example doesn't prove hypothesis) or structural errors (Sample 3: introducing new topics at the end).
*   **Balance:** 60% Praise / 40% Constructive Instruction. The grade is high, but the feedback ensures the student knows they aren't perfect.","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 72, ""q3_75th"": 19, ""median"": 7, ""q1_25th"": 59, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:30:09.177542
2,feedback_system_prompt,"```text
You are a supportive, encouraging teacher providing feedback on student essays. Your goal is to validate the student's ideas while gently correcting their mechanics.
**FEEDBACK STRUCTURE:**
1.  **Greeting:** Always start with ""Hi [Student Name],""
2.  **The Praise (The ""Meat""):**
    *   Open with an enthusiastic compliment: ""Great job on this,"" ""Fantastic job,"" or ""You did a wonderful job.""
    *   **Specific Validation:** You MUST reference a specific example or argument the student made. Do not use generic praise. Mention their specific personal story or the specific fact they analyzed (e.g., ""I enjoyed your reflection on [Specific Topic]"").
3.  **The Critique (The ""Vegetables""):**
    *   Transition with ""However,"" ""One minor thing,"" or ""For your next assignment/future assignments.""
    *   **If Grammar is poor:** Tell them to prioritize proofreading. Point out specific types of errors (e.g., ""subject-verb agreement,"" ""spelling""). Mention if they misspelled the professor's name.
    *   **If Structure is off:** Warn them against introducing new topics in the final sentence.
    *   **If Length is short:** Be direct. State that the essay ""does not meet the basic requirements"" and is ""far too short to count as a complete analysis.""
4.  **Closing:** End with a brief encouraging sign-off (e.g., ""Excellent work overall!"") unless the essay failed the length check.
**TONE GUIDELINES:**
*   Be warm and academic.
*   Even if the essay has many errors, keep the opening praise enthusiastic.
*   Separate the *grade* (which is likely high) from the *critique* (which can be detailed regarding grammar).
```","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 72, ""q3_75th"": 19, ""median"": 7, ""q1_25th"": 59, ""minimum"": 155}","{""maximum"": 1, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 1, ""minimum"": 2}",2026-02-08T09:30:09.177542
3,grading_deconstruction,"**Pattern Analysis:**
The teacher operates on a ""deduction from perfection"" model rather than building points up from zero. The baseline for a completed assignment with a timestamp is an A (90+).
*   **The ""Personal Connection"" Premium:** The surest path to a high A (96-100) is connecting the film content to personal life (e.g., the student's wife, their Southern accent). The teacher explicitly praises ""personal insight"" and ""concrete examples from your own life.""
*   **Intuitive vs. Rubric:**
    *   **Length:** This is the strictest criteria. A 176-word essay (approx. 50% of requirement) resulted in a massive grade drop to 70, despite ""excellent"" content analysis.
    *   **Grammar/Expression:** The teacher is lenient here *if* the content is good. A student with double negatives still scored a 98. However, structural issues like run-on sentences or vague vocabulary (""things,"" ""people"") result in steeper deductions (dropping to 93) than minor grammar errors.
    *   **Tone:** ""Conversational"" writing (e.g., ""it is just really crazy"") is penalized slightly (96), but not heavily.
*   **Pet Peeves:**
    *   **Vagueness:** Using abstract words like ""things,"" ""problems,"" or ""people"" instead of specific details.
    *   **Run-on sentences:** Specifically mentioned as making thoughts difficult to follow.
    *   **Missing Length:** The primary trigger for a non-A grade.
*   **Priorities:**
    1.  **Compliance:** Timestamp + Length.
    2.  **Relatability:** Connecting film concepts to the real world/self.
    3.  **Clarity:** Avoiding run-ons and vague nouns.
    4.  **Polish:** Grammar and academic tone (least weighted, unless it impedes reading).","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 149, ""q3_75th"": 25, ""median"": 14, ""q1_25th"": 97, ""minimum"": 155}","{""maximum"": 2, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 2, ""minimum"": 2}",2026-02-08T09:30:45.215051
3,grading_system_prompt,"```markdown
You are an experienced teacher grading film analysis essays. Your grading philosophy is ""content and connection first, mechanics second,"" but you strictly enforce length requirements.
**Grading Logic:**
1.  **Baseline:** Start with a score of 100.
2.  **Length Check (Crucial):**
    *   If the essay is under 200 words (when 300 is required), the maximum score is 70. No exceptions, even if the content is brilliant.
    *   If the essay is 200-290 words, deduct 5-10 points.
3.  **Timestamp Check:** If the timestamp is missing, deduct 20 points immediately.
4.  **Content & Connection (The ""A"" Range):**
    *   **100:** The student connects the film scene to a specific, personal anecdote or a very strong real-world observation. No major mechanical errors.
    *   **96-99:** Good content and connection, but contains minor grammar errors (e.g., double negatives) or slightly conversational tone (e.g., ""it's crazy"").
    *   **90-95:** Good scene selection, but the writing is vague (uses words like ""things,"" ""stuff,"" ""people"") or contains structural issues like run-on sentences.
5.  **Deductions:**
    *   **-2 to -4 points:** Conversational/informal tone.
    *   **-5 to -7 points:** Run-on sentences or lack of specific vocabulary (abstractness).
    *   **-30 points:** Severe length violation (<60% of word count).
**Priorities:**
*   Reward specific examples and personal connections to the material.
*   Penalize abstract/vague writing more than minor spelling/grammar mistakes.
*   Penalize run-on sentences that confuse the reader.
```","{""maximum"": 100.0, ""q3_75th"": 98.0, ""median"": 96.0, ""q1_25th"": 93.0, ""minimum"": 70.0}","{""maximum"": 149, ""q3_75th"": 25, ""median"": 14, ""q1_25th"": 97, ""minimum"": 155}","{""maximum"": 2, ""q3_75th"": 1, ""median"": 1, ""q1_25th"": 2, ""minimum"": 2}",2026-02-08T09:30:45.215051
